city,activity,name,latitude,longitude,price,rating,place_id
Luxor,Accomodation,Phillipe Luxor Hotel,25.70544582,32.64344257,529,3,492
Luxor,Accomodation,El Gezira Garden Hotel Luxor,25.70507052,32.632834,1003,3,493
Luxor,Accomodation,Lotus Luxor Hotel,25.68785332,32.63120967,766,3,494
Luxor,Accomodation,Windsor Hotel Luxor,25.70599168,32.64343957,403,3,495
Luxor,Accomodation,El Nakhil Hotel ,25.70486522,32.63159011,638,3,496
Luxor,Accomodation,Shady Hotel Luxor,25.69361572,32.639823,544,3,497
Luxor,Accomodation,New Saint Catherine Hotel,25.70194898,32.64450073,292,2,498
Luxor,Accomodation,Dream Island,25.69321539,32.62300985,471,2,499
Aswan,Historic,Jeziret Aswan,24.08996017,32.88940144,5,4,500
Aswan,Historic,Abu Simbel Temple,22.33721204,31.62578827,15.25,4,501
Aswan,Historic,Philea Temple,24.02574459,32.88418917,11.44,4,502
Aswan,Historic,The Unfinished Obelisk,24.07688749,32.89542627,5.08,4,503
Aswan,Historic,Monastery of St. Simeon,24.09461388,32.87569647,6,4,504
Aswan,Historic,Nubian Museum,24.07941509,32.88918563,8.9,4,505
Aswan,Historic,High Dam,24.08523778,32.89064898,6.35,4,506
Aswan,Historic,Lake Nasser,22.73425924,32.18996665,3,4,507
Aswan,Historic,Aga Khan Mausoleum,24.08815762,24.08815762,5,4,508
Aswan,Historic,Wadi El-sabeu,22.79337279,32.5450197,3,4,509
Aswan,Historic,Tombs of The Nobles,25.73074122,32.6093397,5,4,510
Aswan,Shopping,Aswan Souq,24.09084799,32.89676617,5,4,511
Aswan,Cafe and Restaurant,Mezze Restaurant,24.10163843,32.89294193,200,4,512
Aswan,Cafe and Restaurant,Panorama Restaurant,24.09981726,32.8929609,200,4,513
Aswan,Cafe and Restaurant,Al Qahwa Cafe,24.09858197,32.89016962,150,4,514
Aswan,Cafe and Restaurant,Bob Marley Guest House ,24.09460893,32.88927294,150,4,515
Aswan,Cafe and Restaurant,The Terrace,24.08827067,32.88950615,200,4,516
Aswan,Cafe and Restaurant,Nubian dreams ,24.09698428,32.8923026,150,4,517
Aswan,Cafe and Restaurant,1902 Restaurant,24.08795565,32.88834376,150,4,518
Aswan,Cafe and Restaurant,El Masry,24.09794499,32.89910551,200,4,519
Aswan,Cafe and Restaurant,Makani restaurant,24.09085372,32.88948774,250,4,520
Aswan,Cafe and Restaurant,El Dokka,24.08878644,32.88544358,150,4,521
Aswan,Cafe and Restaurant,Makka Restaurant,24.10493939,32.90102406,100,4,522
Aswan,Cafe and Restaurant,King Jamaica,24.09557775,32.88980544,150,4,523
Aswan,Cafe and Restaurant,Old Nubian Guest,24.03862395,32.88337464,200,4,524
Aswan,Cafe and Restaurant,Abeer restoran,24.10393464,32.89977874,250,4,525
Aswan,Cafe and Restaurant,Solaih Nubian ,24.02909433,32.88474005,250,4,526
Aswan,Cafe and Restaurant,Oriental Kebabgy,24.08664472,32.88669523,200,4,527
Aswan,Cafe and Restaurant,Sun Deck ,24.11568633,32.89877052,150,4,528
Aswan,Cafe and Restaurant,Porto Sono,24.13341575,32.89219728,200,4,529
Aswan,Cafe and Restaurant,Kato Dool,24.06748082,32.86627735,250,4,530
Aswan,Cafe and Restaurant,Nubian Restaurant,24.09910792,32.90652157,150,4,531
Aswan,Cafe and Restaurant,Chef Khalil,24.10231319,32.90063787,200,4,532
Aswan,Cafe and Restaurant,Aswan Moon,24.09038223,32.89478527,250,4,533
Aswan,Cafe and Restaurant,Ibiza Nubian House,24.09503367,32.9010284,150,4,534
Aswan,Cafe and Restaurant, Cilantro,24.10438292,32.8993697,250,4,535
Aswan,Cafe and Restaurant,Biti Pizza,24.10833419,32.90123609,300,4,536
Aswan,Cafe and Restaurant,Al Dokka,24.08331958,32.88051726,150,4,537
Aswan,Cafe and Restaurant,Saraya,24.08580888,32.8857869,150,4,538
Aswan,Cafe and Restaurant,Emy,24.09545526,32.89594218,150,4,539
Aswan,Cafe and Restaurant,Gambari Afandi Seafood,24.09222253,32.90693254,200,4,540
Aswan,Cafe and Restaurant,Alexandria kaman we kaman ,24.10142039,32.89574927,250,4,541
Aswan,Cafe and Restaurant,Gambareca,24.08953416,32.89741499,300,4,542
